id,name,slug,count
573,The medhi hasan show,the-medhi-hasan-show,6
630,The mehdi hasan show,the-mehdi-hasan-show,1131
143,The Rachel Maddow Show,rachel-maddow-show,6443
952,The rachel maddow show,the-rachel-maddow-show,6
1142,The reid report,the-reid-report,450
482,The reidout,the-reidout,3376
3820,The scoop,the-scoop,1
522,The sunday show,the-sunday-show,611
462,The week,the-week,323
3910,The Week with Joshua Johnson,the-week-with-joshua-johnson,1
155,The Weekend,the-weekend,1397
148,The Weekend: Primetime,the-weekend-primetime,632
136,The Weeknight,the-weeknight,762
1813,Thomas rivera,thomas-rivera,1
997,Thomas roberts,thomas-roberts,1027
1411,Three cents,three-cents,8
475,Transcripts,transcripts,0
526,Transcripts,reidout,0
535,Transcripts,11th-hour-with-brian-williams,0
164,U.S. news,u-s-news,12
981,Up,up,1445
3497,Up late,up-late,29
1042,Up with chris hayes,up-with-chris-hayes,960
527,Up with steve kornacki,up-with-steve-kornacki,41
153,Velshi,velshi,1423
300,Velshi ruhle,velshi-ruhle,2371
3892,VelshiRuhle,velshiruhle,1
3094,Wag,wag,1
129,Way Too Early with Ali Vitali,way-too-early,1917
1043,Weekends alex witt,weekends-alex-witt,1262
150,Weekends with Alex Witt,weekends-with-alex-witt,3377
3961,Weekends with Jonathan Capehart,weekends-with-jonathan-capehart,647
3929,White House,white-house,1
4384,Why Is This Happening with Chris Hayes,why-is-this-happening-with-chris-hayes,32
3440,World,world,0
3933,World News,world-news,1
510,Yasmin vossoughian,yasmin-vossoughian,484
3802,Yasmin vossoughian reporst,yasmin-vossoughian-reporst,1
3801,Yasmin vossoughian report,yasmin-vossoughian-report,3
657,Yasmin vossoughian reports,yasmin-vossoughian-reports,598
3827,Yasmin vosssoughian reports,yasmin-vosssoughian-reports,1
3803,Yasmin voussoughian reports,yasmin-voussoughian-reports,1
338,Your business,your-business,822
3817,Zeitgeist,zeitgeist,39
624,Zerlina,zerlina,1195
